;"MeanDecreaseGini"
"fBodyGyro.bandsEnergy...25.32.2";2.0349059269
"fBodyGyro.bandsEnergy...17.32.2";2.0152750273
"tBodyGyroJerk.mad...Y";1.9959225813
"tGravityAcc.entropy...Z";1.9933739784
"tBodyGyroJerk.std...Y";1.9921118636
"fBodyAcc.energy...Y";1.9850103702
"tBodyGyroJerk.energy...Y";1.9749380759
"fBodyGyro.bandsEnergy...25.32.1";1.9661434171
"fBodyGyro.iqr...X";1.9652207563
"tBodyGyroJerk.arCoeff...X.2";1.9611667453
"tBodyAcc.std...Z";1.954046401
"fBodyGyro.bandsEnergy...17.32";1.9515077462
"tBodyAcc.energy...Z";1.9506578563
"fBodyAcc.skewness...Z";1.9416066138
"fBodyGyro.bandsEnergy...17.24.2";1.9284590246
"fBodyGyro.bandsEnergy...57.64.2";1.9237761177
"fBodyAccJerk.bandsEnergy...25.48.2";1.9061214442
"fBodyGyro.iqr...Y";1.8843232305
"tBodyAccJerk.correlation...Y.Z";1.8766893247
"fBodyAcc.energy...Z";1.8707893643
"tBodyAccJerk.energy...Z";1.8684308631
"fBodyAccJerk.skewness...Y";1.8574051123
"tGravityAccMag.entropy..";1.8420285234
"tBodyAccJerk.max...Y";1.840631008
"tBodyGyro.max...Y";1.8214525378
"fBodyAcc.bandsEnergy...33.48";1.7802051587
"tBodyGyro.max...Z";1.7681108687
"fBodyBodyGyroJerkMag.mad..";1.7680195019
"tBodyGyroJerk.mean...X";1.7487034807
"tBodyGyro.arCoeff...Y.4";1.7480898934
"tBodyAcc.arCoeff...X.4";1.7455637075
"tBodyGyroJerkMag.mad..";1.7115555224
"fBodyAcc.bandsEnergy...9.16.1";1.7089378175
"fBodyGyro.mad...Z";1.6972686663
"fBodyGyro.bandsEnergy...57.64";1.680861207
"fBodyAccJerk.bandsEnergy...17.32.1";1.6731210375
"fBodyGyro.bandsEnergy...25.48.1";1.6665481913
"tBodyGyroJerk.max...Y";1.6301637004
"tBodyGyroJerk.max...Z";1.6236863052
"tBodyGyroJerk.min...Y";1.6233793577
"tBodyGyroJerk.arCoeff...Z.4";1.6227875052
"fBodyAccJerk.std...Z";1.6214921747
"fBodyGyro.bandsEnergy...41.48.2";1.6175838496
"fBodyGyro.meanFreq...Y";1.6142320709
"fBodyGyro.bandsEnergy...49.64.2";1.6121705721
"tBodyGyro.arCoeff...X.4";1.6004036461
"fBodyAcc.bandsEnergy...33.40";1.5880514999
"tBodyGyroJerkMag.std..";1.5862014829
"fBodyGyro.bandsEnergy...33.48.2";1.5832614875
"fBodyAccJerk.mean...Z";1.5790553521
"tBodyGyro.arCoeff...Z.4";1.5722152567
"fBodyGyro.bandsEnergy...33.48";1.5717837714
"fBodyAccJerk.skewness...X";1.5685435966
"tBodyGyroJerkMag.arCoeff..1";1.5633978613
"fBodyBodyGyroJerkMag.energy..";1.5618083829
"fBodyGyro.bandsEnergy...9.16.1";1.5545472263
"fBodyGyro.entropy...Y";1.5465615425
"tBodyGyroMag.sma..";1.5392621567
"tBodyGyro.sma..";1.536800426
"fBodyBodyGyroMag.skewness..";1.5349215732
"fBodyAccJerk.meanFreq...Z";1.5219649795
"tBodyGyro.arCoeff...Y.1";1.5129730832
"fBodyBodyGyroMag.kurtosis..";1.5116120908
"fBodyGyro.bandsEnergy...49.56";1.5091373356
"tBodyAccJerk.std...Z";1.4980275086
"tBodyGyroJerk.arCoeff...Y.1";1.4840803358
"fBodyAcc.kurtosis...Z";1.480836426
"tGravityAcc.iqr...Z";1.4725829833
"tBodyAcc.iqr...Z";1.4708982574
"tBodyAcc.arCoeff...Z.4";1.4699213681
"fBodyAcc.bandsEnergy...17.24.2";1.464859375
"fBodyAcc.bandsEnergy...41.48";1.449583082
"fBodyGyro.bandsEnergy...49.56.2";1.4436344999
"tBodyGyroMag.entropy..";1.4390980755
"fBodyAccJerk.mad...Z";1.4390624754
"tBodyAccJerk.arCoeff...Z.4";1.4182216975
"fBodyGyro.bandsEnergy...25.32";1.4117971686
"fBodyGyro.bandsEnergy...33.40";1.4069649968
"tBodyGyroMag.arCoeff..2";1.4051270663
"fBodyBodyGyroMag.iqr..";1.4043014496
"fBodyAccJerk.max...Z";1.403517965
"tBodyGyroJerk.min...Z";1.3976067783
"tBodyAccJerkMag.arCoeff..2";1.382891966
"fBodyAcc.mad...Y";1.3701430808
"tBodyGyroJerk.mean...Z";1.3659043066
"fBodyAcc.maxInds.X";1.3648166587
"fBodyAcc.bandsEnergy...25.48.2";1.3545193296
"fBodyAcc.mad...Z";1.3512011892
"fBodyAccJerk.bandsEnergy...9.16.2";1.3479689331
"tBodyAccJerk.arCoeff...Z.3";1.3262311276
"fBodyAccJerk.bandsEnergy...25.48";1.3232302611
"fBodyAcc.bandsEnergy...25.32.2";1.3188661975
"fBodyGyro.bandsEnergy...9.16.2";1.3179044197
"tBodyGyroJerkMag.energy..";1.3173730466
"fBodyAcc.mean...Y";1.3158662211
"fBodyAccJerk.kurtosis...Y";1.3005786679
"fBodyAccJerk.bandsEnergy...17.24.1";1.2980611761
"tBodyAcc.arCoeff...Y.1";1.2960819155
"tBodyGyroMag.max..";1.2805472749
"fBodyAccJerk.bandsEnergy...25.32.2";1.2804632053
"fBodyGyro.bandsEnergy...33.48.1";1.2655214777
"tBodyAcc.entropy...Z";1.2615211246
"tBodyGyroJerkMag.entropy..";1.2601623671
"tBodyGyroMag.arCoeff..1";1.2480458775
"tBodyGyro.arCoeff...Y.2";1.2309409441
"fBodyAcc.bandsEnergy...17.24.1";1.2306759985
"fBodyAcc.bandsEnergy...17.24";1.230202097
"fBodyAccJerk.bandsEnergy...33.48.2";1.2262309029
"fBodyAccJerk.bandsEnergy...17.32";1.2235278287
"tBodyGyro.min...Y";1.2228413417
"fBodyAcc.bandsEnergy...33.48.2";1.2227157747
"tBodyGyro.entropy...Y";1.2206457946
"fBodyGyro.bandsEnergy...25.48";1.2201261269
"tBodyGyroJerkMag.arCoeff..2";1.211123282
"fBodyBodyGyroMag.energy..";1.1993498342
"tBodyGyroJerk.iqr...Y";1.1909464965
"fBodyGyro.entropy...Z";1.1903077902
"tBodyAccJerk.arCoeff...X.3";1.1890317556
"fBodyAccJerk.maxInds.Y";1.1872647444
"fBodyGyro.min...Z";1.183641605
"tBodyAccJerk.arCoeff...X.4";1.162138338
"tBodyAcc.mean...Y";1.1610569071
"tBodyGyroJerk.entropy...Y";1.1598176527
"tBodyAcc.arCoeff...X.1";1.1592581529
"fBodyGyro.bandsEnergy...41.48.1";1.1424607894
"fBodyAccJerk.bandsEnergy...33.40";1.1421503691
"tBodyGyroMag.arCoeff..4";1.1396133561
"tBodyAccJerk.min...Z";1.1386311826
"tBodyAccJerk.arCoeff...Z.1";1.1378507119
"tBodyAccJerk.arCoeff...Y.4";1.1358016352
"tBodyAcc.max...Z";1.131190817
"fBodyAccJerk.bandsEnergy...25.32";1.1288550153
"tBodyGyroJerkMag.arCoeff..4";1.1285614022
"fBodyAccJerk.bandsEnergy...33.40.1";1.1270446134
"fBodyBodyGyroMag.mad..";1.1202913553
"tBodyAcc.min...Y";1.115860746
"tBodyGyroMag.mean..";1.1133453899
"fBodyAcc.mean...Z";1.1003349312
"fBodyAcc.bandsEnergy...25.48.1";1.0995531404
"tBodyAcc.entropy...Y";1.0848938737
"fBodyAccMag.maxInds";1.0828069514
"fBodyAcc.bandsEnergy...25.48";1.0826950641
"fBodyGyro.bandsEnergy...33.40.2";1.0779912708
"tBodyAccMag.arCoeff..4";1.0639437786
"fBodyAccJerk.bandsEnergy...33.40.2";1.0589053796
"fBodyAcc.bandsEnergy...17.32.1";1.0569387205
"tBodyGyroMag.arCoeff..3";1.0554954421
"fBodyBodyGyroMag.min..";1.0550445813
"tBodyGyroMag.energy..";1.0519599585
"fBodyAcc.maxInds.Z";1.0445579896
"fBodyAcc.bandsEnergy...9.16.2";1.0439379432
"fBodyBodyAccJerkMag.meanFreq..";1.0375497629
"fBodyBodyGyroJerkMag.sma..";1.0371693551
"tBodyGyroMag.mad..";1.0353984517
"tBodyGyroJerkMag.iqr..";1.0238960028
"tBodyAccJerk.arCoeff...X.1";1.0210406233
"fBodyBodyGyroMag.std..";1.0178840193
"tBodyAcc.max...Y";1.016588663
"fBodyAccJerk.entropy...Z";1.0142735544
"tBodyGyroMag.std..";1.0139214086
"tBodyGyroJerk.arCoeff...Z.2";1.005815628
"fBodyAccJerk.meanFreq...Y";1.0027621174
"fBodyAccJerk.meanFreq...X";0.9977356054
"fBodyBodyGyroMag.entropy..";0.9901050107
"fBodyAccJerk.kurtosis...X";0.9890918732
"tBodyGyroJerkMag.max..";0.9850529737
"tBodyGyroJerk.arCoeff...Z.3";0.9818927056
"fBodyBodyGyroJerkMag.meanFreq..";0.977411924
"fBodyAccJerk.bandsEnergy...41.48.2";0.9756753036
"tBodyGyroJerk.arCoeff...Z.1";0.9722071081
"tBodyAccMag.arCoeff..3";0.9652442317
"tBodyGyroMag.iqr..";0.962730237
"tBodyGyro.arCoeff...X.2";0.94911849
"fBodyBodyGyroJerkMag.mean..";0.946468266
"tBodyAcc.min...Z";0.9413021684
"fBodyBodyGyroJerkMag.maxInds";0.9387688846
"fBodyAcc.entropy...Y";0.9330352668
"fBodyAcc.entropy...Z";0.9286925018
"fBodyBodyGyroMag.sma..";0.9283240702
"tBodyAcc.arCoeff...X.3";0.928241373
"fBodyAccMag.kurtosis..";0.926517781
"fBodyAcc.bandsEnergy...25.32";0.9262530184
"tBodyAccJerk.arCoeff...Z.2";0.9246466043
"fBodyAccMag.skewness..";0.924298127
"tBodyGyroJerk.arCoeff...X.4";0.921390419
"fBodyAcc.bandsEnergy...49.56.2";0.9209758999
"tBodyAccMag.entropy..";0.9207606715
"fBodyBodyGyroJerkMag.iqr..";0.9192311834
"tBodyAccJerkMag.arCoeff..3";0.9187365864
"fBodyAccJerk.skewness...Z";0.9187012146
"tBodyGyroJerk.arCoeff...Y.2";0.9160437248
"fBodyAccJerk.bandsEnergy...41.48.1";0.9114616273
"fBodyGyro.bandsEnergy...33.40.1";0.9108485922
"fBodyAcc.bandsEnergy...33.48.1";0.9069143194
"fBodyBodyGyroMag.mean..";0.9022350117
"tBodyAcc.mean...X";0.9011995025
"tBodyAccJerk.arCoeff...Y.1";0.8994941324
"tBodyAcc.arCoeff...Y.4";0.8987868261
"tGravityAccMag.arCoeff..3";0.8982466767
"tBodyGyro.arCoeff...X.3";0.8970944701
"tGravityAccMag.arCoeff..4";0.8962667941
"fBodyAcc.bandsEnergy...33.40.1";0.8949441623
"fBodyAccJerk.kurtosis...Z";0.8943325683
"fBodyAcc.bandsEnergy...49.56.1";0.8892066282
"tBodyGyroJerk.arCoeff...Y.4";0.8837817776
"fBodyGyro.bandsEnergy...49.56.1";0.8826459174
"fBodyAccJerk.bandsEnergy...49.64.2";0.8738315844
"tBodyGyroJerkMag.arCoeff..3";0.8696078498
"tBodyAccJerkMag.arCoeff..4";0.8689912339
"fBodyBodyGyroMag.max..";0.8665229329
"fBodyAccJerk.bandsEnergy...25.32.1";0.8624017693
"fBodyGyro.bandsEnergy...57.64.1";0.8541351625
"fBodyGyro.min...X";0.8538970177
"tBodyAcc.arCoeff...Z.1";0.8497340534
"tBodyGyro.arCoeff...Z.2";0.8491571184
"tBodyAccJerkMag.max..";0.8435683319
"tBodyAcc.mean...Z";0.8306565501
"fBodyAcc.bandsEnergy...25.32.1";0.8268110508
"tBodyAcc.arCoeff...Y.2";0.8261821782
"tBodyAccJerk.mean...X";0.8261468045
"fBodyBodyAccJerkMag.iqr..";0.8194554176
"tBodyGyroJerk.arCoeff...Y.3";0.8097654838
"tBodyAccJerkMag.arCoeff..1";0.8092108026
"tBodyGyro.arCoeff...Z.1";0.8088350108
"fBodyAccJerk.bandsEnergy...49.64.1";0.7961594779
"fBodyAcc.iqr...Z";0.7930706187
"fBodyGyro.min...Y";0.7830799097
"fBodyGyro.bandsEnergy...49.64.1";0.7827882473
"tBodyAcc.arCoeff...Y.3";0.7781000821
"tBodyAccJerk.arCoeff...Y.2";0.7717581584
"tBodyAcc.arCoeff...Z.2";0.764902378
"fBodyAcc.bandsEnergy...49.56";0.762758827
"tBodyGyro.arCoeff...Y.3";0.7601381112
"tBodyGyroJerk.mean...Y";0.7532540083
"tGravityAccMag.min..";0.7516245474
"fBodyAcc.bandsEnergy...33.40.2";0.7493705072
"tBodyGyro.arCoeff...Z.3";0.7482007063
"tBodyAccJerk.mean...Z";0.7313820599
"fBodyAcc.bandsEnergy...41.48.1";0.7240660783
"fBodyAcc.bandsEnergy...57.64";0.7224778045
"fBodyAcc.bandsEnergy...49.64";0.7161636164
"tBodyAcc.arCoeff...X.2";0.712376911
"fBodyAccJerk.bandsEnergy...49.56.2";0.709547304
"fBodyBodyAccJerkMag.maxInds";0.7039934815
"fBodyAccJerk.bandsEnergy...57.64.1";0.7032366552
"tBodyAccJerk.arCoeff...X.2";0.6922835557
"tBodyAccJerk.arCoeff...Y.3";0.6907399116
"tBodyGyroJerkMag.min..";0.6901703053
"fBodyBodyGyroJerkMag.entropy..";0.6844847161
"fBodyAccMag.min..";0.6820802372
"angle.tBodyAccMean.gravity.";0.6802288819
"angle.tBodyAccJerkMean..gravityMean.";0.6708928762
"fBodyAcc.bandsEnergy...49.64.2";0.658411036
"fBodyAcc.bandsEnergy...57.64.1";0.6541881162
"fBodyAccJerk.iqr...Y";0.6519364318
"fBodyAcc.bandsEnergy...57.64.2";0.6345301988
"tBodyAccJerk.mean...Y";0.6224545178
"tBodyAcc.arCoeff...Z.3";0.6199351198
"fBodyAccJerk.bandsEnergy...57.64.2";0.6168170155
"fBodyAccJerk.min...Y";0.6158287114
"fBodyAcc.min...X";0.6092803155
"fBodyAccJerk.bandsEnergy...49.56.1";0.5996705851
"fBodyAcc.min...Z";0.5992589424
"fBodyAcc.bandsEnergy...49.64.1";0.597718781
"fBodyAccJerk.bandsEnergy...49.64";0.5873933654
"fBodyAccJerk.min...X";0.5727356862
"fBodyBodyGyroJerkMag.min..";0.5609940083
"tBodyAccMag.min..";0.5562863053
"fBodyAcc.bandsEnergy...41.48.2";0.5561666109
"fBodyAcc.iqr...Y";0.5531975633
"fBodyAccJerk.bandsEnergy...49.56";0.5492359407
"fBodyBodyAccJerkMag.min..";0.5488282952
"fBodyAcc.min...Y";0.4966029607
"fBodyAccJerk.bandsEnergy...57.64";0.4925223455
"fBodyAccJerk.min...Z";0.39681477
